Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0	3.23	0.22
1	3.23	0.22
2	3.18	0.22
3	3.29	0.22
4	3.3	0.22
5	3.26	0.22
6	3.33	0.22
7	3.37	0.22
8	3.42	0.22
9	3.38	0.22
10	3.52	0.22
11	3.6	0.22
12	3.92	0.22
13	4.06	0.22
14	4.28	0.22
15	4.49	0.22
16	4.75	0.22
17	4.88	0.22
18	5.02	0.22
19	4.96	0.22
20	4.99	0.22
21	4.91	0.22
22	4.88	0.22
23	4.86	0.22
24	4.81	0.22
25	4.82	0.22
26	4.67	0.22
27	4.75	0.22
28	4.75	0.22
29	4.73	0.22
30	4.62	0.22
31	4.62	0.22
32	4.6	0.22
33	4.58	0.22
34	4.59	0.22
35	4.54	0.22
36	4.45	0.22
37	4.46	0.22
38	4.41	0.22
39	4.55	0.22
40	4.55	0.22
41	4.51	0.22
42	4.5	0.22
43	4.46	0.22
44	4.48	0.22
45	4.33	0.22
46	4.36	0.22
47	4.38	0.22
48	4.45	0.22
49	4.46	0.22
50	4.34	0.22
51	4.33	0.22
52	4.31	0.22
53	4.44	0.22
54	4.38	0.22
55	4.31	0.22
56	4.35	0.22
57	4.43	0.22
58	4.49	0.22
59	4.43	0.22
60	4.6	0.22
61	4.51	0.22
62	4.6	0.22
63	4.53	0.22
64	4.36	0.22
65	4.48	0.22
66	4.57	0.22
67	4.44	0.22
68	4.42	0.22
69	4.47	0.22
70	4.32	0.22
71	4.22	0.22
72	4.21	0.22
73	4.23	0.22
74	4.03	0.22
75	3.95	0.22
76	4.06	0.22
77	4.08	0.22
78	4.05	0.22
79	4.05	0.22
80	3.9	0.22
81	3.82	0.22
82	3.8	0.22
83	3.83	0.22
84	3.82	0.22
85	3.95	0.22
86	4.06	0.22
87	4.18	0.22
88	4.11	0.22
89	4.08	0.22
90	4.06	0.22
91	4.03	0.22
92	3.98	0.22
93	3.9	0.22
94	3.84	0.22
95	3.77	0.22
96	3.75	0.22
97	3.83	0.22
98	3.9	0.22
99	3.78	0.22
100	3.81	0.22
101	3.92	0.22
102	3.86	0.22
103	3.88	0.22
104	3.92	0.22
105	3.85	0.22
106	4	0.22
107	4.04	0.22
108	4.11	0.22
109	4.12	0.22
110	4.04	0.22
111	4.02	0.22
112	4.03	0.22
113	3.93	0.22
114	3.81	0.22
115	3.71	0.22
116	3.58	0.22
117	3.54	0.22
118	3.44	0.22
119	3.3	0.22
120	3.27	0.22
121	3.26	0.22
122	3.18	0.22
123	3.1	0.22
124	3.27	0.22
125	3.14	0.22
126	3.16	0.22
127	3.37	0.22
128	3.71	0.22
129	3.9	0.22
130	3.67	0.22
131	3.81	0.22
